Noise Power,Integration Time
2.268426649644167e-07,0.01
5.9302469827754614e-08,1.02
4.731904997444604e-08,2.03
4.626859527344263e-08,3.04
4.554034582276858e-08,4.05
4.4278937372387036e-08,5.06
4.395661704309324e-08,6.07
4.302103481104882e-08,7.08
4.2499835735084706e-08,8.09
4.1836220088168284e-08,9.1
4.1148089042728455e-08,10.11
4.0597851278681436e-08,11.12
3.988843925415104e-08,12.13
3.931811937993576e-08,13.14
3.8658015980274786e-08,14.15
3.8031599540669204e-08,15.16
3.7420036013499924e-08,16.17
3.676214461201953e-08,17.180000000000003
3.6166844311004696e-08,18.19
3.55178486003139e-08,19.200000000000003
3.48994463096278e-08,20.21
3.426707899410819e-08,21.220000000000002
3.3621348919016724e-08,22.23
3.299784657457289e-08,23.240000000000002
3.234195387822574e-08,24.250000000000004
3.171111067602569e-08,25.26
3.106202755387269e-08,26.270000000000003
3.041582234059052e-08,27.28
2.977711134286799e-08,28.290000000000003
2.9121530060236576e-08,29.3
2.848253349106004e-08,30.310000000000002
2.782683982396423e-08,31.32
2.7179372985809245e-08,32.33
2.6530974534058273e-08,33.339999999999996
2.5875000787100445e-08,34.35
2.523065275413813e-08,35.36
2.457284383414794e-08,36.37
2.392425146430159e-08,37.379999999999995
2.3270800558654757e-08,38.39
2.2616621208612242e-08,39.4
2.196876248881193e-08,40.41
2.1312573603810722e-08,41.42
2.066593496322423e-08,42.43
2.001324177903629e-08,43.44
1.9363338018511056e-08,44.449999999999996
1.8715906569246388e-08,45.46
1.8063864298710538e-08,46.47
1.7419080500761883e-08,47.48
1.676932588709237e-08,48.49
1.6127070990821255e-08,49.5
1.54880323339948e-08,50.51
1.4852282195338492e-08,51.519999999999996
1.4227141662861696e-08,52.53
1.3603105234784106e-08,53.54
1.2991610853410251e-08,54.55
1.2386560820301548e-08,55.559999999999995
1.1792732378123185e-08,56.57
1.1212826486371745e-08,57.58
1.0641806083790519e-08,58.589999999999996
1.0089015229045349e-08,59.6
9.546758937688076e-09,60.61
9.021209526672691e-09,61.62
8.511073696621064e-09,62.629999999999995
8.01404950293267e-09,63.64
7.536004090383597e-09,64.65
7.069900286817429e-09,65.66000000000001
6.6227216039728514e-09,66.67
6.190297223749292e-09,67.68
5.773300740124031e-09,68.69000000000001
5.374591248337397e-09,69.7
4.98865785368203e-09,70.71000000000001
4.6215552424780534e-09,71.72
4.268129522766801e-09,72.73
3.931145024582155e-09,73.74000000000001
3.6106298511572413e-09,74.75
3.303225587170043e-09,75.76
3.0138070508854375e-09,76.77000000000001
2.736685406597031e-09,77.78
2.4760062323226818e-09,78.79
2.229497786437117e-09,79.80000000000001
1.9962490687967006e-09,80.81
1.7792777390736443e-09,81.82000000000001
1.5736885552799453e-09,82.83000000000001
1.384400747664552e-09,83.84
1.2071813019818172e-09,84.85000000000001
1.0432617473086698e-09,85.86
8.935493864253318e-10,86.87
7.542713216847993e-10,87.88000000000001
6.300771153652417e-10,88.89
5.157534749441573e-10,89.9
4.147861936280299e-10,90.91000000000001
3.255084757302528e-10,91.92
2.4630403363870825e-10,92.93
1.8067250568218813e-10,93.94000000000001
1.234312021027e-10,94.95
7.910415124939662e-11,95.96000000000001
4.417219155141153e-11,96.97000000000001
1.9254245912194206e-11,97.98
5.8775085556657094e-12,98.99000000000001
2.1277689419445662e-14,100.0
